name,brand,category,price,cost,imageUrl,description,material,colors,tags,XS,S,M,L,XL,XXL,status
Camisa Faustina,Sail,Camisas y Blusas,111300,55650,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39240210CAMISAFAUSTINABLANCO05.jpg?v=1772735927,"Camisa oversize, manga larga rayada. Composición: 100% Algodón Referencia: La modelo con la variante Blanco mide 1.71m y usa talle S. La modelo con la variante Celeste mide 1.61m y usa talle S.",100% Algodón,"[{""name"":""Blanco"",""sizes"":{""S"":3,""M"":5,""L"":10}},{""name"":""Celeste"",""sizes"":{""S"":6,""M"":5,""L"":7}}]","camisablusa,invierno26",0,9,10,17,0,0,active
Camisa Daria,Sail,Camisas y Blusas,75600,37800,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39240713CAMISADARIAOFFWHITE04.jpg?v=1772556340,"Camisa de manga larga confeccionada en poplín combinado con broderie, ideal para sumar un toque femenino y delicado a los looks de todos los días. Su diseño mezcla la estructura clásica de una camisa con el detalle romántico y artesanal de la broderie en el delantero. Presenta cuello camisero, cartera frontal con botones y calce cómodo que la vuelve una prenda versátil para combinar con jeans, pantalones sastreros o faldas. Una opción liviana y elegante para looks casuales o más arreglados. Detalles Camisa de manga larga Confeccionada en poplín Delantero combinado con broderie Cuello camisero Cartera frontal con botones Calce cómodo y femenino Diseño delicado y versátil Composición Algodón - Rayón - Poliéster Cuidados Lavar a mano o en ciclo delicado con agua fría No usar lavandina No retorcer Secar a la sombra Plancha tibia del revés No usar secadora Referencia de talle La modelo mide 1,71 m y usa talle S.",Algodón - Rayón - Poliéster,"[{""name"":""Off White"",""sizes"":{""S"":10,""M"":15,""L"":17}}]","camisablusa,hotsale26,invierno26",0,10,15,17,0,0,active
Camisa Melina,Sail,Camisas y Blusas,98700,49350,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38240412_CAMISA_MELINA_NATURAL_01_f5e2599a-745e-4660-beb0-1505b5881bd8.png?v=1763569887,"Camisa de algodón de manga corta con bolsillos plaque en el frente y canesú con tablas en espalda. Composición: 100% Algodón Referencia de talle: La modelo mide 1,72m y está usando talle S.",100% Algodón,"[{""name"":""Natural"",""sizes"":{""S"":15,""M"":4,""L"":3,""XL"":14}},{""name"":""Coral"",""sizes"":{""S"":5,""M"":7,""L"":4,""XL"":8}}]","camisablusa,camisablusass26,camisass26,lanzamiento,navidad25,oportunidades25,verano26",0,20,11,7,22,0,active
Blusa Paola,Sail,Camisas y Blusas,88200,44100,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38250350_BLUSA_PAOLA_AZUL_01.jpg?v=1763557334,"Blusa de algodón con cuello mao y manga japonesa. Lleva cartera corta y abierta y tiene canesú delantero combinado. Composición: 80% Poliéster - 20% algodón Referencia de talle: La modelo mide 1,72m y está usando talle S.",80% Poliéster - 20% algodón,"[{""name"":""Azul"",""sizes"":{""S"":12,""M"":14,""L"":12,""XL"":9}}]","blusass26,camisablusa,camisablusass26,lanzamiento,navidad25,oportunidades25,verano26",0,12,14,12,9,0,active
Camisa Siena,Sail,Camisas y Blusas,98700,49350,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38241013_CAMISA_SIENA_OFF_WHITE_01-Zoe-Neutral_Beige.png?v=1764358070,"Camisa manga corta con ruedo rebatido. Composición: 100% Algodón Referencia de talle: La modelo mide 1,72m y está usando talle S.",100% Algodón,"[{""name"":""Off White"",""sizes"":{""S"":11,""M"":15,""L"":12,""XL"":11}},{""name"":""Negro"",""sizes"":{""S"":7,""M"":10,""L"":13,""XL"":9}}]","camisablusa,camisablusass26,camisass26,lanzamiento,navidad25,oportunidades25,verano26",0,18,25,25,20,0,active
Blusa Maitena,Sail,Camisas y Blusas,75600,37800,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/20250925SAILSS26ECOMDIA317530.jpg?v=1762359734,"Blusa con detalles en lurex, escote v, sin mangas. Composición: 98% algodón - 2% lurex Referencia de talle: La modelo mide 1,72m y está usando talle S.",98% algodón - 2% lurex,"[{""name"":""Off White"",""sizes"":{""S"":13,""M"":11,""L"":11,""XL"":8}}]","blusass26,camisablusa,camisablusass26,lanzamiento,navidad25,oportunidades25,verano26",0,13,11,11,8,0,active
Camisa Ivon,Sail,Camisas y Blusas,99750,49875,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/20250925_SAIL_SS26_ECOM_DIA_315785.jpg?v=1764779688,"Camisa oversize, terminación redondeada y manga larga. Composición: 80% Poliéster 20% algodón Referencia de talle: La modelo mide 1,72m y está usando talle S.",80% Poliéster 20% algodón,"[{""name"":""Beige"",""sizes"":{""S"":13,""M"":19,""L"":7}}]","camisablusa,camisablusass26,camisass26,lanzamiento,navidad25,oportunidades25,playa,verano26",0,13,19,7,0,0,active
Blusa Eleonor,Sail,Camisas y Blusas,54600,27300,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38540101_BLUSA_ELEONOR_NEGRO_01-Zoe-Warm_Studio.png?v=1763556826,"Blusa sin mangas con canesú delantero combinado. Composición: Poliéster Referencia de talle: La modelo mide 1,72m y está usando talle S.",Poliéster,"[{""name"":""Negro"",""sizes"":{""S"":30,""M"":19,""L"":23}}]","blusass26,camisablusa,camisablusass26,lanzamiento,navidad25,noche,oportunidades25,verano26",0,30,19,23,0,0,active
Camisa Sur,Sail,Camisas y Blusas,129150,64575,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/20250925_SAIL_SS26_ECOM_DIA_317737-Veronica-Studio_Caramel.png?v=1764780049,"Camisa manga 3/4 con puño ancho y canesú en espalda. Composición: 55% Lino - 45% Rayón Características del lino: - fibra antialérgica - Resistente a la abrasión y el estiramiento. - Antiestático. - Alto nivel de absorción de humedad y transpiración. - Puede presentar irregularidades en su tejido o cambios de tono por ser una fibra natural. - Puede encoger en su primer lavado. Referencia de talle: La modelo mide 1,72m y está usando talle S.",,"[{""name"":""Off White"",""sizes"":{""S"":4,""M"":8,""L"":3}},{""name"":""Celeste"",""sizes"":{""S"":4,""M"":11,""L"":9}},{""name"":""Natural"",""sizes"":{""S"":10,""M"":8,""L"":6}}]","camisablusa,camisablusass26,camisass26,lanzamiento,navidad25,oportunidades25,verano26",0,18,27,18,0,0,active
Blusa Renata,Sail,Camisas y Blusas,88200,44100,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38250614_BLUSA_RENATA_BEIGE_01-Zoe-Warm_Studio.png?v=1763557622,"Blusa amplia, manga corta, con recortes. Composición: 100% algodón Referencia de talle: La modelo mide 1,72m y está usando talle S.",100% algodón,"[{""name"":""Beige"",""sizes"":{""S"":11,""M"":22,""L"":3,""XL"":13}}]","blusass26,camisablusa,camisablusass26,lanzamiento,navidad25,oportunidades25,verano26",0,11,22,3,13,0,active
Camisa Moira,Sail,Camisas y Blusas,84000,42000,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38241813_CAMISA_MOIRA_OFF_WHITE_01.jpg?v=1763571052,"Camisa de sedita amplia sin mangas ruedo irregular. Composición: 80% Rayón - 20% Nylon Referencia de talle: La modelo mide 1,72m y está usando talle S.",80% Rayón - 20% Nylon,"[{""name"":""Off White"",""sizes"":{""S"":5,""M"":8,""L"":4,""XL"":8}},{""name"":""Negro"",""sizes"":{""S"":6,""M"":7,""L"":8,""XL"":5}},{""name"":""Beige"",""sizes"":{""S"":6,""M"":7,""L"":8,""XL"":9}}]","camisablusa,camisablusass26,camisass26,lanzamiento,navidad25,oportunidades25,verano26",0,17,22,20,22,0,active
Camisa Selena,Sail,Camisas y Blusas,79800,39900,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38240950_CAMISA_SELENA_AZUL_01-Zoe-Warm_Studio.png?v=1763571830,"Camisa rayada, manga murciélago con media cartera y bolsillo ojal. Composición: 100% Algodón Referencia de talle: La modelo mide 1,72m y está usando talle S.",100% Algodón,"[{""name"":""Azul"",""sizes"":{""S"":4,""M"":12,""L"":8,""XL"":9}},{""name"":""Beige"",""sizes"":{""S"":11,""M"":7,""L"":3,""XL"":12}}]","camisablusa,camisablusass26,camisass26,lanzamiento,navidad25,oportunidades25,verano26",0,15,19,11,21,0,active
Camisa Miranda,Sail,Camisas y Blusas,109200,54600,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38540514_CAMISA_MIRANDA_BEIGE_01_-_copia.png?v=1763570765,"Camisa de plumeti con lurex, manga murciélago cuello mao y frunces en canesú de espalda. Composición: 98% Algodón - 2% Lurex Referencia de talle: La modelo mide 1,72m y está usando talle S.",98% Algodón - 2% Lurex,"[{""name"":""Beige"",""sizes"":{""S"":8,""M"":12,""L"":16}}]","camisablusa,camisablusass26,camisass26,lanzamiento,navidad25,noche,oportunidades25,verano26",0,8,12,16,0,0,active
Blusa Irina,Sail,Camisas y Blusas,98300,49150,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/37250132BLUSAIRINANUDE01.jpg?v=1763042823,"Confeccionada en sedita rayón, esta blusa amplia ofrece un diseño fluido y liviano. Presenta mangas tipo balloon con tablas, que aportan volumen y movimiento, y un escote con volado y frunces, ajustable mediante un lazo. Composición: 100% rayón. Referencia de talle: La modelo mide 1,72 m y usa talle S.",100% rayón.,"[{""name"":""Nude"",""sizes"":{""S"":12,""M"":3,""L"":15}}]","camisablusa,delfi,specialprice,winter25",0,12,3,15,0,0,active
Camisa Eda,Sail,Camisas y Blusas,84700,42350,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/37241301CAMISAEDANEGRO01.jpg?v=1749044500,"Camisa oversize confeccionada en voile de algodón, ideal para sumar liviandad y un estilo relajado a los looks de todos los días. Su diseño de líneas simples y caída suave la convierte en una prenda versátil, fresca y cómoda para usar sola o como sobrecamisa. Presenta manga larga y canesú con tablón en la espalda, detalle que aporta movimiento, amplitud y un calce más holgado. Perfecta para combinar con jeans, pantalones sastreros o shorts en outfits casuales y urbanos. Detalles Camisa oversize Confeccionada en voile Manga larga Canesú con tablón en espalda Calce amplio y cómodo Tejido liviano y fresco Diseño versátil y atemporal Composición Algodón Cuidados Lavar a mano o en ciclo delicado con agua fría Lavar con colores similares No usar lavandina No usar secadora Secar a la sombra Plancha tibia si es necesario Referencia de talle La modelo mide 1,74 m y usa talle S.",Algodón,"[{""name"":""Negro"",""sizes"":{""S"":15,""M"":3,""L"":14}}]","camisablusa,essential,hotsale26,specialprice,winter25",0,15,3,14,0,0,active
Camisa Ariana,Sail,Camisas y Blusas,68810,34405,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/Camisa_Ariana.jpg?v=1763042692,"Camisa de sedita con manga larga y calce liviano, ideal para sumar un toque elegante y sofisticado a cualquier look. Su textura satinada aporta brillo sutil y caída fluida, perfecta tanto para ocasiones especiales como para combinar en outfits de todos los días. Posee escote en V con cartera escondida que aporta un acabado limpio y delicado. Los frunces en canesú delantero y espalda generan movimiento y volumen suave, logrando una silueta femenina y cómoda. Detalles Camisa de sedita Manga larga Escote en V Cartera escondida Frunces en delantero y espalda Caída fluida y liviana Terminación suave y satinada Composición 100% Poliéster Cuidados Lavar a mano con agua fría No usar lavandina No usar secadora Plancha tibia del revés Secar a la sombra Referencia de talle La modelo del color crudo y rojo mide 1,74 m y usa talle S.",100% Poliéster,"[{""name"":""Negro"",""sizes"":{""S"":4,""M"":21,""L"":7,""XL"":17}},{""name"":""Rojo"",""sizes"":{""S"":13,""M"":17,""L"":16,""XL"":15}}]","camisablusa,delfi,hotsale26,Noche,specialprice,winter25",0,17,38,23,32,0,active
Camisa Denim Terri,Sail,Camisas y Blusas,125040,62520,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/37240201_CAMISA_DENIM_TERRI_NEGRO_12.jpg?v=1749043987,"Camisa de denim de manga larga, ideal para sumar un básico versátil y canchero a los looks de todos los días. Su diseño combina una silueta clásica con detalles inspirados en la camisa western, logrando una prenda atemporal y fácil de combinar. Presenta detalle de canesú en picos que aporta estructura y un diferencial al diseño, junto con bolsillos delanteros con tapa y cartera frontal abotonada. Confeccionada en denim 100% algodón, ofrece una caída cómoda y un look auténtico que funciona tanto cerrada como abierta sobre remeras o tops. Detalles Camisa de denim Manga larga Canesú en picos Bolsillos delanteros con tapa Calce cómodo y versátil Estilo clásico con inspiración western Composición 100% Algodón Cuidados Lavar a máquina con agua fría Lavar del revés y con colores similares No usar lavandina No dejar en remojo No usar secadora Plancha tibia si es necesario Secar a la sombra Referencia de talle La modelo mide 1,72 m y usa talle S.",100% Algodón,"[{""name"":""Negro"",""sizes"":{""S"":12,""M"":16,""L"":7,""XL"":10}}]","camisablusa,delfi,denim,hotsale26,specialprice,winter25",0,12,16,7,10,0,active
Camisa Naomi,Sail,Camisas y Blusas,79380,39690,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39240101CAMISANAOMIANEGRO01.jpg?v=1774896615,"Camisa de denim de manga larga con acabado desgastado, ideal para sumar un toque canchero y versátil a los looks de todos los días. Su diseño clásico se actualiza con una textura suave y una caída cómoda, perfecta para usar cerrada o abierta sobre remeras y tops. Presenta bolsillos delanteros con tapa, cartera frontal con broches y canesú en espalda que aporta mejor estructura y calce. Una prenda atemporal para combinar con jeans, pantalones sastreros o faldas en outfits urbanos y relajados. Detalles Camisa de denim Manga larga Acabado con proceso de desgaste Bolsillos delanteros con tapa Cartera frontal con broches Canesú en espalda Calce cómodo y versátil Composición 82% algodón - 12% cylocell Cuidados Lavar a máquina con agua fría Lavar del revés y con colores similares No usar lavandina No dejar en remojo No usar secadora Plancha tibia Secar a la sombra Referencia de talle La modelo mide 1,71 m y usa talle S.",82% algodón - 12% cylocell,"[{""name"":""Negro"",""sizes"":{""S"":3,""M"":6,""L"":9,""XL"":5}},{""name"":""Azul"",""sizes"":{""S"":15,""M"":11,""L"":10,""XL"":7}}]","camisablusa,hotsale26,invierno26",0,18,17,19,12,0,active
Camisa Bruna,Sail,Camisas y Blusas,71400,35700,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39240675CAMISABRUNAMILITAR01.jpg?v=1773338126,"Camisa de manga larga confeccionada en algodón, ideal para sumar un básico versátil y atemporal al guardarropa. Su diseño clásico incorpora canesú con forma en delantero y espalda, aportando un detalle diferencial y una mejor estructura en la prenda. Cuenta con bolsillos delanteros cuadrados y calce cómodo, perfecto para combinar con jeans, pantalones sastreros o prendas de denim en looks casuales y urbanos. Detalles Camisa de manga larga Canesú con forma en delantero y espalda Bolsillos delanteros cuadrados Calce cómodo Tejido liviano y confortable Diseño clásico y versátil Composición 100% Algodón Cuidados Lavar a máquina con agua fría Lavar con colores similares No usar lavandina No usar secadora Plancha tibia Secar a la sombra Referencia de talle La modelo del color militar mide 1,71 m y usa talle S.",100% Algodón,"[{""name"":""Militar"",""sizes"":{""S"":6,""M"":16,""L"":12}},{""name"":""Ladrillo"",""sizes"":{""S"":16,""M"":13,""L"":10}}]","camisablusa,invierno26",0,22,29,22,0,0,active
Camisa Estefania,Sail,Camisas y Blusas,70560,35280,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39241001CAMISAESTEFANIANEGRO01.jpg?v=1772738152,"Camisa amplia de rayón estampado, ideal para sumar frescura, movimiento y un toque sofisticado a los looks de todos los días. Su tejido liviano y suave brinda una caída fluida y cómoda, mientras que el diseño estampado aporta personalidad y estilo. Presenta manga larga, cartera frontal con botones y tajos laterales en el ruedo, detalles que favorecen el movimiento y le dan una silueta relajada y versátil. Es una prenda fácil de combinar con jeans, pantalones sastreros o faldas, tanto en outfits casuales como en propuestas más arregladas. Detalles Camisa de rayón estampado Calce amplio Manga larga Cartera frontal con botones Tajos laterales en el ruedo Caída liviana y fluida Diseño femenino y versátil Composición Rayón Cuidados Lavar a mano con agua fría No usar lavandina No usar secadora Secar a la sombra Plancha suave del revés si es necesario No retorcer Referencia de talle La modelo mide 1,72 m y usa talle S.",Rayón,"[{""name"":""Negro"",""sizes"":{""S"":14,""M"":3,""L"":13}},{""name"":""Crudo"",""sizes"":{""S"":9,""M"":5,""L"":15}}]","camisablusa,hotsale26,invierno26",0,23,8,28,0,0,active
Camisa Astrid,Sail,Camisas y Blusas,99750,49875,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39540302_CAMISA_ASTRID_GRIS_05.jpg?v=1772461884,"Camisa de satén manga larga, con detalle de puño ancho y tajos laterales en el ruedo. Composición: 100% poliéster Referencia: La modelo mide 1.71m y usa talle S.",100% poliéster,"[{""name"":""Gris"",""sizes"":{""S"":22,""M"":13,""L"":13}}]","camisablusa,invierno26,Noche",0,22,13,13,0,0,active
Camisa Clementina,Sail,Camisas y Blusas,88200,44100,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39240410CAMISACLEMENTINABLANCO05.jpg?v=1772736783,"Camisa de algodón con elastano entallada, manga larga. Posee pinzas en delantero y espalda. Composición: 97% algodón - 3% elastano Referencia de talles: La modelo del color blanco mide 1.71m y usa talle S. La modelo del color celeste mide 1.61m y usa talle S.",97% algodón - 3% elastano,"[{""name"":""Blanco"",""sizes"":{""S"":10,""M"":13,""L"":16,""XL"":5}},{""name"":""Celeste"",""sizes"":{""S"":15,""M"":4,""L"":7,""XL"":7}}]","camisablusa,invierno26",0,25,17,23,12,0,active
Camisa Betiana,Sail,Camisas y Blusas,74640,37320,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/37240370CAMISABETIANAVERDE01.jpg?v=1749043690,"Camisa de sedita satinada estampada de manga larga, ideal para sumar un toque sofisticado y femenino a los looks de todos los días. Su textura suave y levemente brillante aporta una caída liviana y elegante, mientras que el estampado realza la prenda con personalidad y estilo. Presenta calce cómodo, cartera frontal abotonada y tajos laterales en el ruedo que brindan mayor movimiento y una caída más fluida. Es una opción versátil para combinar con jeans, pantalones sastreros o faldas, tanto en outfits casuales como en propuestas más arregladas. Detalles Camisa de sedita satinada estampada Manga larga Cartera frontal con botones Tajos laterales en el ruedo Calce cómodo y liviano Textura suave con acabado satinado Diseño femenino y versátil Composición Algodón - Elastano Cuidados Lavar a mano con agua fría No usar lavandina No usar secadora Secar a la sombra Plancha suave del revés si es necesario No retorcer Referencia de talles La modelo del color verde mide 1,72 m y usa talle S. La modelo del color ocre mide 1,74 m y usa talle S.",Algodón - Elastano,"[{""name"":""Ocre"",""sizes"":{""XS"":10,""S"":9,""M"":3,""L"":6}},{""name"":""Verde"",""sizes"":{""XS"":13,""S"":5,""M"":16,""L"":5}}]","camisablusa,camisadiscontinuo,hotsale26",23,14,19,11,0,0,active
