name,brand,category,price,cost,imageUrl,description,material,colors,tags,XS,S,M,L,XL,XXL,status
BILLETERA CON BROCHES LEGACY,Legacy Necochea,Accesorios,35900,17950,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/img_20210419_140005_91-418a9ee403307b14b016188798842078-480-0.webp,BILLETERA CON BROCHES LEGACY por $35.900,,"[{""name"":""Marrón"",""sizes"":{""U"":5}}]",accesorios,0,0,5,0,0,0,active
BORCEGOS,Legacy Necochea,Accesorios,159900,79950,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/camisa-cher-beige-6ae53f0e22b884447117246831547946-480-0.webp,BORCEGOS por $159.900,,"[{""name"":""Marrón"",""sizes"":{""42"":0,""43"":0,""44"":0,""45"":1}},{""name"":""Negro"",""sizes"":{""42"":0,""43"":1,""44"":0,""45"":1}}]",accesorios,0,0,0,0,0,3,active
BOXER &quot;LG &quot; POPLIN,Legacy Necochea,Boxers,24990,12495,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/boxer-tela-estampados1-359b101ddafe61d1e815868759718414-480-0.webp,BOXER &quot;LG &quot; POPLIN por $24.990,,"[{""name"":""Unico"",""sizes"":{""S"":5,""M"":5,""L"":5,""XL"":5,""XXL"":5}}]",boxers,0,5,5,5,5,5,active
BOXER ALGODON CON LYCRA,Legacy Necochea,Boxers,19990,9995,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/boxer-algodon1-382e2a548b12da5f1a15865635761092-480-0.webp,BOXER ALGODON CON LYCRA por $19.990,,"[{""name"":""Azul"",""sizes"":{""S"":5,""M"":5,""L"":5,""XL"":5,""XXL"":5}},{""name"":""Blanco"",""sizes"":{""S"":5,""M"":5,""L"":5,""XL"":5,""XXL"":5}},{""name"":""Gris"",""sizes"":{""S"":5,""M"":5,""L"":5,""XL"":5,""XXL"":5}},{""name"":""Negro"",""sizes"":{""S"":5,""M"":5,""L"":5,""XL"":5,""XXL"":5}}]",boxers,0,20,20,20,20,20,active
BUZO &quot;LEGACY &quot;,Legacy Necochea,Buzos,49990,24995,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/28-0389b18bd9a267760417246817470685-480-0.webp,BUZO &quot;LEGACY &quot; por $49.990,,"[{""name"":""Negro"",""sizes"":{""L"":0,""M"":0,""XL"":0}},{""name"":""Bordó"",""sizes"":{""L"":0,""M"":1,""XL"":0}}]",buzos,0,0,1,0,0,0,active
CAMISA &quot;MURPHY&quot; CUADROS AZUL,Legacy Necochea,Camisas,89990,44995,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/17-4b8305ac23da12492117241512512994-480-0.webp,CAMISA &quot;MURPHY&quot; CUADROS AZUL por $89.990,,"[{""name"":""AZUL"",""sizes"":{""S"":1,""M"":2}}]",camisas,0,1,2,0,0,0,active
CAMISA &quot;SPANDEX&quot; LISA,Legacy Necochea,Camisas,98900,49450,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/16-67d9c5098852c3692617241513713850-480-0.webp,CAMISA &quot;SPANDEX&quot; LISA por $98.900,,"[{""name"":""AZUL MARINO"",""sizes"":{""S"":1,""M"":0,""L"":0,""XL"":1}}]",camisas,0,1,0,0,1,0,active
"CAMISA DE MUJER MANGA LARGA ,POPLIN CON ELASTANO &quot;CHER&quot;",Legacy Necochea,Camisas,79990,39995,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/camisa-cher-beige-01d44528983cdbb25d17246812060824-480-0.webp,"CAMISA DE MUJER MANGA LARGA ,POPLIN CON ELASTANO &quot;CHER&quot; por $79.990",,"[{""name"":""Beige"",""sizes"":{""M"":0,""L"":1,""XL"":0}},{""name"":""Rosa"",""sizes"":{""M"":0,""L"":0,""XL"":1}}]",camisas,0,0,0,1,1,0,active
CAMISA M/L HOMBRE &quot;REGULAR FIT&quot; ALGODON SPANDEX,Legacy Necochea,Camisas,109900,54950,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/polo-anais-_verde-1dfabb75502f069ff017257137042302-480-0.webp,CAMISA M/L HOMBRE &quot;REGULAR FIT&quot; ALGODON SPANDEX por $109.900,,"[{""name"":""Blanco"",""sizes"":{""S"":5,""M"":5,""L"":5,""XL"":5,""XXL"":5}},{""name"":""Celeste"",""sizes"":{""S"":5,""M"":5,""L"":5,""XL"":5,""XXL"":5}}]",camisas,0,10,10,10,10,10,active
CAMISA POPLIN &quot;SPANDEX&quot; LISA,Legacy Necochea,Camisas,109900,54950,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/18-b949c1d769df46c13f17241515395646-480-0.webp,CAMISA POPLIN &quot;SPANDEX&quot; LISA por $109.900,,"[{""name"":""AZUL"",""sizes"":{""S"":1,""M"":1,""L"":1,""XL"":1,""XXL"":1}},{""name"":""Blanco"",""sizes"":{""S"":0,""M"":0,""L"":0,""XL"":1,""XXL"":1}},{""name"":""Celeste"",""sizes"":{""S"":1,""M"":1,""L"":1,""XL"":1,""XXL"":1}}]",camisas,0,2,2,2,3,3,active
CAMISA POPLIN LISA,Legacy Necochea,Camisas,85900,42950,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/img-20200429-wa00381-fd82cf97a614316f2c15882052010843-480-0.webp,CAMISA POPLIN LISA por $85.900,,"[{""name"":""Celeste"",""sizes"":{""S"":1,""M"":0,""L"":0,""XL"":1,""XXL"":0}}]",camisas,0,1,0,0,1,0,active
CAMPERA DE PAÑO BOMBER &quot;WILL&quot;,Legacy Necochea,Camperas,198900,99450,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/fven1272-d06a892bda1dc126b717131371241061-480-0.webp,"Descubre la Campera &quot;Bomber&quot; de paño, forrada y moderna. Ideal para el frío, combina estilo y comodidad. ¡Incorporala a tu guardarropa ahora!",,"[{""name"":""Gris"",""sizes"":{""S"":1,""M"":0,""L"":0,""XL"":0}}]",camperas,0,1,0,0,0,0,active
CAMPERA PARKA COMBINADA CON CORDEROY,Legacy Necochea,Camperas,189900,94950,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/campera-matelasse-194f8101a1022e44a417484337043148-480-0.webp,CAMPERA PARKA COMBINADA CON CORDEROY por $189.900,,"[{""name"":""AZUL MARINO"",""sizes"":{""S"":1,""M"":0,""L"":0,""XL"":0,""XXL"":0}},{""name"":""VERDE MUSGO"",""sizes"":{""S"":1,""M"":0,""L"":1,""XL"":0,""XXL"":0}}]",camperas,0,2,0,1,0,0,active
CHALECO - MICROPOLAR,Legacy Necochea,Camperas,44990,22495,https://dcdn-us.mitiendanube.com/stores/001/148/737/products/12-0e0604bd46c759de0a17244120097411-480-0.webp,CHALECO - MICROPOLAR por $44.990,,"[{""name"":""VERDE MUSGO"",""sizes"":{""S"":2,""M"":2}}]",camperas,0,2,2,0,0,0,active
