name,brand,category,price,cost,imageUrl,description,material,colors,tags,XS,S,M,L,XL,XXL,status
Polo Body Congo Melange 6 a 24 meses,Owoko,Bodies,27930,13965,https://acdn-us.mitiendanube.com/stores/867/057/products/37356-melange-27aa60b0acbea33a4b17762677951094-480-0.webp,Polo Body Congo Melange 6 a 24 meses por $27.930,,"[{""name"":""Melange"",""sizes"":{""6M"":23,""12M"":24,""18M"":24,""24M"":23}}]",bodies,0,0,23,24,24,23,active
Mono Amiguitas Azul 0 a 24 meses,Owoko,Monos,32130,16065,https://acdn-us.mitiendanube.com/stores/867/057/products/37053-azul-09adcc6fae00061d2f17727335769401-480-0.webp,Mono Amiguitas Azul 0 a 24 meses por $32.130,,"[{""name"":""Azul"",""sizes"":{""0M"":11,""3M"":11,""6M"":11,""12M"":10,""18M"":10,""24M"":15}}]",monos,11,11,11,10,10,15,active
Mono Carlota Gris 0 a 24 meses,Owoko,Monos,32130,16065,https://acdn-us.mitiendanube.com/stores/867/057/products/37018-gris-6d3ce2bc41c29d648017727295383417-480-0.webp,Mono Carlota Gris 0 a 24 meses por $32.130,,"[{""name"":""Gris"",""sizes"":{""0M"":13,""3M"":13,""6M"":13,""12M"":13,""18M"":13,""24M"":7}}]",monos,13,13,13,13,13,7,active
Mono Carlota Melange 0 a 24 meses,Owoko,Monos,32130,16065,https://acdn-us.mitiendanube.com/stores/867/057/products/37018-melange-ced2aa16f517b080c317727295553435-480-0.webp,Mono Carlota Melange 0 a 24 meses por $32.130,,"[{""name"":""Melange"",""sizes"":{""0M"":17,""3M"":17,""6M"":17,""12M"":17,""18M"":17,""24M"":22}}]",monos,17,17,17,17,17,22,active
Mono Matilde Fucsia 0 a 24 meses,Owoko,Monos,51600,25800,https://acdn-us.mitiendanube.com/stores/867/057/products/37022-fucsia-3103705c90d043d16517727304512170-480-0.webp,Mono Matilde Fucsia 0 a 24 meses por $51.600,,"[{""name"":""Fucsia"",""sizes"":{""0M"":18,""3M"":18,""6M"":18,""12M"":17,""18M"":17,""24M"":17}}]",monos,18,18,18,17,17,17,active
Body Bichi Rojo 0 a 24 meses,Owoko,Bodies,18830,9415,https://acdn-us.mitiendanube.com/stores/867/057/products/35110-rojo-a62f720d34c8f9ec7117727221219131-480-0.webp,Body Bichi Rojo 0 a 24 meses por $18.830,,"[{""name"":""Rojo"",""sizes"":{""0M"":11,""3M"":11,""6M"":11,""12M"":10,""18M"":10,""24M"":10}}]",bodies,11,11,11,10,10,10,active
Pantalón Aventura Azul 3 a 24 meses,Owoko,Pantalones,25245,12623,https://acdn-us.mitiendanube.com/stores/867/057/products/43166-azul-aa8f4c1252e613d82717476766721719-480-0.webp,Pantalón Aventura Azul 3 a 24 meses por $25.245,,"[{""name"":""Azul"",""sizes"":{""3M"":5,""6M"":5,""12M"":5,""18M"":5,""24M"":3}}]",pantalones,0,5,5,5,5,3,active
Mono Nubecita Fucsia 0 a 24 meses,Owoko,Monos,34930,17465,https://acdn-us.mitiendanube.com/stores/867/057/products/37019-fucsia-81bea56235e9e8e3d617727296161798-480-0.webp,Mono Nubecita Fucsia 0 a 24 meses por $34.930,,"[{""name"":""Fucsia"",""sizes"":{""0M"":11,""3M"":11,""6M"":11,""12M"":9,""18M"":9,""24M"":12}}]",monos,11,11,11,9,9,12,active
Camperón Mundo Rosa 2 a 8 años,Owoko,Camperas,63920,31960,https://acdn-us.mitiendanube.com/stores/867/057/products/45602-rosa2-1-3a30b3f31a61d4851617745300652598-480-0.webp,Camperón Mundo Rosa 2 a 8 años por $63.920,,"[{""name"":""Rosa"",""sizes"":{""A2"":5,""A3"":3,""A4"":4,""A5"":5,""A6"":3,""A7"":4,""A8"":4}}]",camperas,0,0,8,9,11,0,active
Camperón Mundo Negro 2 a 8 años,Owoko,Camperas,63920,31960,https://acdn-us.mitiendanube.com/stores/867/057/products/45602-negro2-99384b93a868a0b03317745302317351-480-0.webp,Camperón Mundo Negro 2 a 8 años por $63.920,,"[{""name"":""Negro"",""sizes"":{""A2"":14,""A3"":16,""A4"":15,""A5"":14,""A6"":16,""A7"":15,""A8"":17}}]",camperas,0,0,30,29,48,0,active
